nominaldiameter,facilityid,capacity_notes,life,rehab_project,capacity,feet_len,material,design_link,name,comment,install_date,sliplined,maintenance,objectid,rehab_year
8,H0547_H0548,,Active,,Less than 50 pct obligated,373.20468506,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2461,
8,H0552_H0553,,Active,,Less than 50 pct obligated,370.7720424,VCP,,SID 343,Sliplined,1947,YES,City of Bozeman,2462,
8,H0582_H0583,,Active,,Less than 50 pct obligated,399.01504054,PVC,,Chequamengon Estates,,UNK,,City of Bozeman,2463,
8,H0584_H0585,,Active,,Less than 50 pct obligated,405.59185973,PVC,,Chequamengon Estates,,UNK,,City of Bozeman,2464,
8,H0578_H0579,,Active,,Less than 50 pct obligated,369.99929678,VCP,,SID 483,Sliplined,1967,YES,City of Bozeman,2465,
8,I0409_I0410,,Active,,Less than 50 pct obligated,331.05229238,VCP,,SID 432,,1963,,City of Bozeman,2466,
8,I0408_I0460,,Active,,Less than 50 pct obligated,348.85078175,VCP,,SID 432,,1963,,City of Bozeman,2467,
8,H0532_H0534,,Active,,Less than 50 pct obligated,158.36778032,VCP,,SID 432,,1963,,City of Bozeman,2468,
8,H0530_H0531,,Active,,Less than 50 pct obligated,263.84556181,VCP,,Midnite Sewer,,UNK,,City of Bozeman,2469,
8,H0529_H0530,,Active,,Less than 50 pct obligated,228.85670719,VCP,,Midnite Sewer,,UNK,,City of Bozeman,2470,
8,H0524_H0525,,Active,,Less than 50 pct obligated,244.43324072,VCP,,SID 580,,1977,,City of Bozeman,2471,
8,H0523_H0524,,Active,,Less than 50 pct obligated,357.31480042,VCP,,SID 580,,1977,,City of Bozeman,2472,
8,H0520_H0523,,Active,,Less than 50 pct obligated,294.12060377,VCP,,SID 580 & 582,,1977,,City of Bozeman,2473,
8,H0515_H0516,,Active,,Less than 50 pct obligated,358.30006069,PVC,,SID 580,,1977,,City of Bozeman,2474,
8,H0514_H0515,,Active,,Less than 50 pct obligated,363.25379027,PVC,,SID 580,,1977,,City of Bozeman,2475,
8,H0512_H0514,,Active,,Less than 50 pct obligated,187.68148111,PVC,,SID 580 & 582,,1977,,City of Bozeman,2476,
8,H0511_H0512,,Active,,Less than 50 pct obligated,320.17514875,PVC,,SID 580 & 582,,1977,,City of Bozeman,2477,
8,H0509_H0510,,Active,,Less than 50 pct obligated,70.53260701,PVC,,SID 580,,1977,,City of Bozeman,2478,
8,H0508_H0509,,Active,,Less than 50 pct obligated,338.58483865,PVC,,SID 580,,1977,,City of Bozeman,2479,
8,H0505_H0506,,Active,,Less than 50 pct obligated,204.37482896,PVC,,SID 580,,1977,,City of Bozeman,2480,
8,H0503_H0505,,Active,,Less than 50 pct obligated,183.67097044,PVC,,SID 580,,1979,,City of Bozeman,2481,
8,H0502_H0503,,Active,,Less than 50 pct obligated,390.08476327,PVC,,SID 580,,1979,,City of Bozeman,2482,
8,H0504_H0505,,Active,,Less than 50 pct obligated,264.987042,PVC,,SID 580,,1979,,City of Bozeman,2483,
10,H0533_H0534,,Active,,Less than 50 pct obligated,413.32384986,VCP,,SID 432,Sliplined,1963,YES,City of Bozeman,2484,
15,I0305_I0306,,Active,,Less than 50 pct obligated,293.36908449,PVC,,SID 432,,1963,,City of Bozeman,2485,
15,I0304_I0305,,Active,,Less than 50 pct obligated,158.724288,PVC,,SID 432,,1963,,City of Bozeman,2486,
15,I0303_I0304,,Active,,Less than 50 pct obligated,343.41783128,PVC,,North Meadows,,1997,,City of Bozeman,2487,
15,I0302_I0447,,Active,,Less than 50 pct obligated,203.31118997,AC,,North Meadows,Split flow,1997,,City of Bozeman,2488,
15,J0411_J0413,,Active,,Less than 50 pct obligated,255.4349461,AC,,Main Mall,,1994,,City of Bozeman,2489,
